Date,Open,High,Low,Close,Volume,up_n,down_n,body_n,upper_bb,middle_bb,lower_bb
2026-05-18 21:31:00+03:00,4542.2,4542.725,4541.365,4542.365,434,26.5,61.4,12.1,4546.921063159349,4542.750400000005,4538.579736840662
2026-05-18 21:32:00+03:00,4542.47,4543.965,4542.02,4543.23,511,37.8,23.1,39.1,4546.704818669668,4542.665400000005,4538.625981330342
2026-05-18 21:33:00+03:00,4543.235,4543.545,4540.75,4540.75,530,11.1,0.0,88.9,4546.54489340586,4542.513800000006,4538.482706594153
2026-05-18 21:34:00+03:00,4540.73,4542.89,4540.705,4542.875,348,0.7,1.1,98.2,4546.311956265407,4542.422800000006,4538.533643734605
2026-05-18 21:35:00+03:00,4542.87,4543.52,4542.355,4542.51,333,55.8,13.3,30.9,4546.009398065836,4542.308800000006,4538.608201934177
2026-05-18 21:36:00+03:00,4542.535,4542.645,4541.475,4541.68,353,9.4,17.5,73.1,4545.636690034357,4542.158400000006,4538.680109965654
2026-05-18 21:37:00+03:00,4541.675,4541.675,4539.875,4541.035,472,0.0,64.4,35.6,4545.221649772848,4541.9834000000055,4538.745150227163
2026-05-18 21:38:00+03:00,4541.04,4541.37,4540.715,4540.955,434,50.4,36.6,13.0,4544.766073918285,4541.808600000006,4538.851126081727
2026-05-18 21:39:00+03:00,4540.895,4541.355,4539.375,4539.84,418,23.2,23.5,53.3,4544.26509500727,4541.588200000006,4538.911304992741
2026-05-18 21:40:00+03:00,4539.855,4540.64,4539.63,4540.445,258,19.3,22.3,58.4,4543.952153796873,4541.442800000005,4538.9334462031375
2026-05-18 21:41:00+03:00,4540.395,4541.065,4539.11,4540.165,384,34.3,54.0,11.8,4543.904095233523,4541.363600000004,4538.823104766486
2026-05-18 21:42:00+03:00,4540.17,4541.095,4539.905,4541.06,385,2.9,22.3,74.8,4543.764973237001,4541.293200000004,4538.821426763007
2026-05-18 21:43:00+03:00,4541.06,4541.405,4540.6,4541.405,247,0.0,57.1,42.9,4543.7296117287415,4541.271600000004,4538.813588271266
2026-05-18 21:44:00+03:00,4541.37,4541.68,4540.51,4541.615,386,5.6,73.5,20.9,4543.613529241801,4541.226000000004,4538.838470758207
